NO5 price,dato
51.19,2021-01-17-12
52.82,2021-01-17-13
49.95,2021-01-17-14
53.48,2021-01-17-15
60.6,2021-01-17-16
67.05,2021-01-17-17
72,2021-01-17-18
63.98,2021-01-17-19
62.45,2021-01-17-20
55.56,2021-01-17-21
52.13,2021-01-17-22
46.9,2021-01-17-23
43.85,2021-01-18-00
44.37,2021-01-18-01
44.13,2021-01-18-02
44.47,2021-01-18-03
44.83,2021-01-18-04
46.42,2021-01-18-05
53.72,2021-01-18-06
74.53,2021-01-18-07
78.92,2021-01-18-08
75.65,2021-01-18-09
71.67,2021-01-18-10
62.46,2021-01-18-11
58.2,2021-01-18-12
55.91,2021-01-18-13
57.57,2021-01-18-14
57.39,2021-01-18-15
54.54,2021-01-18-16
59.94,2021-01-18-17
55.08,2021-01-18-18
51.42,2021-01-18-19
46.97,2021-01-18-20
45.63,2021-01-18-21
42.95,2021-01-18-22
37.83,2021-01-18-23
36.75,2021-01-19-00
35.94,2021-01-19-01
34.74,2021-01-19-02
35.96,2021-01-19-03
36.7,2021-01-19-04
38.14,2021-01-19-05
41.39,2021-01-19-06
46.68,2021-01-19-07
55.15,2021-01-19-08
54.5,2021-01-19-09
52.73,2021-01-19-10
54.5,2021-01-19-11
52.21,2021-01-19-12
52.11,2021-01-19-13
52.37,2021-01-19-14
51.34,2021-01-19-15
51.89,2021-01-19-16
54.7,2021-01-19-17
52.75,2021-01-19-18
45.39,2021-01-19-19
41.41,2021-01-19-20
39.75,2021-01-19-21
36.66,2021-01-19-22
31.23,2021-01-19-23
30.33,2021-01-20-00
28.4,2021-01-20-01
27.27,2021-01-20-02
26.77,2021-01-20-03
28.85,2021-01-20-04
31.91,2021-01-20-05
35.7,2021-01-20-06
39.02,2021-01-20-07
41.25,2021-01-20-08
38.9,2021-01-20-09
38.01,2021-01-20-10
37.95,2021-01-20-11
37.92,2021-01-20-12
36.84,2021-01-20-13
36.8,2021-01-20-14
37.99,2021-01-20-15
39.33,2021-01-20-16
45.51,2021-01-20-17
40.41,2021-01-20-18
39.13,2021-01-20-19
35.69,2021-01-20-20
32.19,2021-01-20-21
29.49,2021-01-20-22
25.51,2021-01-20-23
24.85,2021-01-21-00
23.16,2021-01-21-01
20.85,2021-01-21-02
19.97,2021-01-21-03
21.51,2021-01-21-04
24.58,2021-01-21-05
27.47,2021-01-21-06
35.32,2021-01-21-07
37.23,2021-01-21-08
35.29,2021-01-21-09
33.01,2021-01-21-10
33.38,2021-01-21-11
33.69,2021-01-21-12
