MSE_tensorflow,MSE_own_NN
1.017,1.0025
0.966,1.0004
1.0103,0.9999
1.0162,0.9998
0.9618,0.9998
0.9972,0.9997
1.0127,0.9917
0.9888,0.9881
0.7484,0.9868
0.9965,0.9865
0.8528,0.9864
0.7985,0.9864
1.0216,0.8142
1.0277,0.8056
0.8355,0.8032
0.9417,0.8024
0.9962,0.8022
1,0.8021
0.7732,0.6843
0.7113,0.6836
0.9602,0.6719
0.9684,0.6694
0.8858,0.6688
0.6731,0.6686
0.9172,0.6686
0.8191,0.6579
0.5738,0.6571
0.6151,0.6525
0.5765,0.6516
1.0105,0.6513
0.8268,0.6511
1.0075,0.6404
0.9833,0.635
0.9547,0.6333
0.9042,0.6327
0.9588,0.6325
0.5767,0.5919
0.5635,0.5724
0.6092,0.5707
0.5465,0.5683
0.4076,0.5676
0.5293,0.5674
0.6884,0.5648
0.6647,0.5374
0.7162,0.535
0.5954,0.531
0.6035,0.5292
0.5858,0.5287
0.6961,0.5284
0.8239,0.507
0.8879,0.5002
0.8273,0.4984
0.8998,0.498
0.8852,0.4977
0.5227,0.4657
0.5814,0.4341
0.534,0.4276
0.6082,0.4261
0.5626,0.4257
0.5264,0.4255
0.3129,0.4058
0.3026,0.3709
0.3917,0.3619
0.378,0.3598
0.3651,0.3592
0.3137,0.359
0.1783,0.3548
0.184,0.3537
0.3047,0.3287
0.2299,0.3045
0.3005,0.2863
0.1752,0.286
0.2633,0.2817
0.2276,0.2813
0.3202,0.2779
0.2972,0.2764
0.3155,0.276
0.3127,0.2759
0.2333,0.2748
0.4119,0.2731
0.9922,0.2691
0.2278,0.2571
0.1733,0.243
0.3719,0.235
0.2206,0.2209
0.175,0.2148
0.1834,0.2127
0.1927,0.2124
0.1932,0.212
0.2238,0.1995
0.1476,0.1949
0.2049,0.1929
0.1685,0.1926
0.1862,0.1847
0.1885,0.1838
0.205,0.1821
0.1462,0.1809
0.2039,0.1794
0.1429,0.1521
0.1646,0.1365
0.1475,0.1359
0.1562,0.1348
0.1208,0.125
0.2365,0.1212
0.1689,0.1184
0.1018,0.1183
0.1689,0.1084
0.1172,0.108
